condition,angle_offset,ref1,ref2,ref3,ref4,ref5,ref6,ref7,ref8
original,0.0,"[-4.5, 20.0]","[-0.5, 20.0]","[0.5, 20.0]","[4.5, 20.0]","[-4.5, 5.0]","[-0.5, 5.0]","[0.5, 5.0]","[4.5, 5.0]"
yaw(roll),-3.0,"[-9.233, 40.408]","[-0.654, 23.438]","[0.47, 21.214]","[3.416, 15.385]","[-7.942, 8.77]","[-0.554, 5.374]","[0.477, 4.907]","[3.259, 3.653]"
yaw(roll),-2.5,"[-7.861, 34.502]","[-0.624, 22.775]","[0.475, 20.994]","[3.559, 15.996]","[-7.047, 7.796]","[-0.544, 5.307]","[0.481, 4.922]","[3.416, 3.825]"
yaw(roll),-2.0,"[-6.843, 30.113]","[-0.596, 22.153]","[0.48, 20.781]","[3.715, 16.659]","[-6.333, 7.019]","[-0.535, 5.242]","[0.484, 4.937]","[3.589, 4.014]"
yaw(roll),-1.5,"[-6.057, 26.723]","[-0.57, 21.567]","[0.485, 20.576]","[3.884, 17.382]","[-5.75, 6.385]","[-0.526, 5.179]","[0.488, 4.952]","[3.78, 4.222]"
yaw(roll),-1.0,"[-5.431, 24.025]","[-0.545, 21.015]","[0.49, 20.377]","[4.07, 18.172]","[-5.266, 5.857]","[-0.517, 5.118]","[0.492, 4.968]","[3.994, 4.455]"
yaw(roll),-0.5,"[-4.922, 21.826]","[-0.522, 20.493]","[0.495, 20.185]","[4.274, 19.041]","[-4.857, 5.411]","[-0.508, 5.058]","[0.496, 4.984]","[4.233, 4.714]"
yaw(roll),0.0,"[-4.5, 20.0]","[-0.5, 20.0]","[0.5, 20.0]","[4.5, 20.0]","[-4.507, 5.029]","[-0.5, 5.0]","[0.5, 5.0]","[4.502, 5.007]"
yaw(roll),0.5,"[-4.144, 18.459]","[-0.479, 19.532]","[0.505, 19.821]","[4.751, 21.065]","[-4.205, 4.698]","[-0.492, 4.943]","[0.504, 5.016]","[4.809, 5.34]"
yaw(roll),1.0,"[-3.84, 17.14]","[-0.46, 19.089]","[0.51, 19.647]","[5.031, 22.254]","[-3.94, 4.409]","[-0.484, 4.888]","[0.508, 5.033]","[5.161, 5.721]"
yaw(roll),1.5,"[-3.577, 15.999]","[-0.441, 18.667]","[0.514, 19.479]","[5.347, 23.59]","[-3.707, 4.153]","[-0.477, 4.834]","[0.512, 5.05]","[5.568, 6.162]"
yaw(roll),2.0,"[-3.347, 15.003]","[-0.423, 18.265]","[0.519, 19.317]","[5.704, 25.104]","[-3.5, 3.926]","[-0.47, 4.782]","[0.517, 5.067]","[6.046, 6.678]"
yaw(roll),2.5,"[-3.145, 14.124]","[-0.407, 17.883]","[0.523, 19.16]","[6.113, 26.833]","[-3.315, 3.723]","[-0.462, 4.73]","[0.521, 5.085]","[6.613, 7.291]"
yaw(roll),3.0,"[-2.966, 13.343]","[-0.391, 17.518]","[0.528, 19.007]","[6.584, 28.826]","[-3.149, 3.54]","[-0.456, 4.68]","[0.525, 5.103]","[7.298, 8.031]"
pitch(yaw),-3.0,"[-3.517, 20.605]","[0.546, 19.997]","[1.537, 19.848]","[5.407, 19.268]","[-4.33, 5.371]","[-0.238, 5.028]","[0.758, 4.952]","[4.653, 4.661]"
pitch(yaw),-2.5,"[-3.685, 20.514]","[0.372, 20.008]","[1.365, 19.884]","[5.262, 19.398]","[-4.362, 5.314]","[-0.282, 5.025]","[0.716, 4.961]","[4.63, 4.719]"
pitch(yaw),-2.0,"[-3.852, 20.419]","[0.197, 20.015]","[1.193, 19.916]","[5.114, 19.525]","[-4.392, 5.258]","[-0.326, 5.021]","[0.673, 4.97]","[4.606, 4.777]"
pitch(yaw),-1.5,"[-4.017, 20.32]","[0.023, 20.018]","[1.021, 19.943]","[4.964, 19.649]","[-4.422, 5.201]","[-0.37, 5.017]","[0.63, 4.978]","[4.581, 4.835]"
pitch(yaw),-1.0,"[-4.18, 20.217]","[-0.151, 20.016]","[0.848, 19.966]","[4.811, 19.769]","[-4.451, 5.144]","[-0.413, 5.012]","[0.587, 4.986]","[4.555, 4.892]"
pitch(yaw),-0.5,"[-4.341, 20.11]","[-0.326, 20.01]","[0.674, 19.985]","[4.657, 19.886]","[-4.48, 5.086]","[-0.457, 5.006]","[0.543, 4.993]","[4.529, 4.95]"
pitch(yaw),0.0,"[-4.5, 20.0]","[-0.5, 20.0]","[0.5, 20.0]","[4.5, 20.0]","[-4.507, 5.029]","[-0.5, 5.0]","[0.5, 5.0]","[4.502, 5.007]"
pitch(yaw),0.5,"[-4.657, 19.886]","[-0.674, 19.985]","[0.326, 20.01]","[4.341, 20.11]","[-4.534, 4.971]","[-0.543, 4.993]","[0.457, 5.006]","[4.475, 5.065]"
pitch(yaw),1.0,"[-4.811, 19.769]","[-0.848, 19.966]","[0.151, 20.016]","[4.18, 20.217]","[-4.561, 4.914]","[-0.587, 4.986]","[0.413, 5.012]","[4.447, 5.122]"
pitch(yaw),1.5,"[-4.964, 19.649]","[-1.021, 19.943]","[-0.023, 20.018]","[4.017, 20.32]","[-4.586, 4.856]","[-0.63, 4.978]","[0.37, 5.017]","[4.418, 5.179]"
pitch(yaw),2.0,"[-5.114, 19.525]","[-1.193, 19.916]","[-0.197, 20.015]","[3.852, 20.419]","[-4.611, 4.798]","[-0.673, 4.97]","[0.326, 5.021]","[4.388, 5.235]"
pitch(yaw),2.5,"[-5.262, 19.398]","[-1.365, 19.884]","[-0.372, 20.008]","[3.685, 20.514]","[-4.636, 4.74]","[-0.716, 4.961]","[0.282, 5.025]","[4.358, 5.292]"
pitch(yaw),3.0,"[-5.407, 19.268]","[-1.537, 19.848]","[-0.546, 19.997]","[3.517, 20.605]","[-4.659, 4.682]","[-0.758, 4.952]","[0.238, 5.028]","[4.327, 5.348]"
roll(pitch),-3.0,"[5.657, -25.124]","[0.62, -25.124]","[-0.639, -25.124]","[-5.676, -25.124]","[-8.208, 9.14]","[-0.903, 9.044]","[0.91, 9.044]","[8.177, 9.068]"
roll(pitch),-2.5,"[9.067, -40.264]","[0.996, -40.264]","[-1.021, -40.264]","[-9.092, -40.264]","[-7.222, 8.042]","[-0.796, 7.968]","[0.801, 7.968]","[7.2, 7.987]"
roll(pitch),-2.0,"[22.82, -101.336]","[2.513, -101.336]","[-2.564, -101.336]","[-22.87, -101.336]","[-6.446, 7.18]","[-0.712, 7.121]","[0.715, 7.121]","[6.431, 7.136]"
roll(pitch),-1.5,"[-44.145, 196.056]","[-4.872, 196.054]","[4.946, 196.054]","[44.219, 196.057]","[-5.821, 6.486]","[-0.644, 6.438]","[0.646, 6.438]","[5.81, 6.45]"
roll(pitch),-1.0,"[-11.218, 49.828]","[-1.241, 49.828]","[1.253, 49.828]","[11.23, 49.828]","[-5.306, 5.914]","[-0.587, 5.874]","[0.589, 5.874]","[5.298, 5.884]"
roll(pitch),-0.5,"[-6.424, 28.542]","[-0.712, 28.542]","[0.716, 28.542]","[6.428, 28.542]","[-4.874, 5.436]","[-0.54, 5.402]","[0.541, 5.402]","[4.868, 5.41]"
roll(pitch),0.0,"[-4.5, 20.0]","[-0.5, 20.0]","[0.5, 20.0]","[4.5, 20.0]","[-4.507, 5.029]","[-0.5, 5.0]","[0.5, 5.0]","[4.502, 5.007]"
roll(pitch),0.5,"[-3.462, 15.394]","[-0.386, 15.394]","[0.384, 15.394]","[3.46, 15.394]","[-4.191, 4.679]","[-0.465, 4.654]","[0.465, 4.654]","[4.187, 4.661]"
roll(pitch),1.0,"[-2.813, 12.513]","[-0.314, 12.513]","[0.311, 12.513]","[2.81, 12.513]","[-3.917, 4.375]","[-0.435, 4.353]","[0.434, 4.353]","[3.913, 4.359]"
roll(pitch),1.5,"[-2.368, 10.541]","[-0.265, 10.541]","[0.261, 10.541]","[2.364, 10.541]","[-3.675, 4.109]","[-0.409, 4.09]","[0.407, 4.09]","[3.672, 4.094]"
roll(pitch),2.0,"[-2.045, 9.107]","[-0.229, 9.107]","[0.225, 9.107]","[2.04, 9.107]","[-3.461, 3.873]","[-0.385, 3.856]","[0.383, 3.856]","[3.459, 3.86]"
roll(pitch),2.5,"[-1.799, 8.017]","[-0.202, 8.017]","[0.197, 8.017]","[1.794, 8.017]","[-3.271, 3.663]","[-0.364, 3.648]","[0.362, 3.648]","[3.269, 3.652]"
roll(pitch),3.0,"[-1.605, 7.16]","[-0.181, 7.16]","[0.175, 7.16]","[1.6, 7.16]","[-3.1, 3.475]","[-0.346, 3.462]","[0.343, 3.462]","[3.098, 3.465]"
